Morphology	tau	rheobase_absolute	fI_slope	rheobase_relative	Rin	RMP	AHP	AHP_time	burst_ratio	AP_adaptation	AP_threshold	AP_peak_accomodation_absolute	AP_width_adaptation	firingrate_2xrheobase	iEPSP_peak_1	iEPSP_peak_5	iEPSP_summation	cfADP	sag_percentage	resonant_frequency	trough_impedance	impedance_relative
nm2024_06_19_c4	V1 L2/3	7.88	122	313	121	261.57	-74.95	-8.74	14.37	2.83	0.15	-35.01	-5.62	1.38	41	1.67	3.56	2.13	-20.9	3.56	0	192.87	1
nm2024_06_20_c0	V1 L2/3	10.36	306	236	142	205.18	-86.85	-6.9000001	17.68	2.8299999	0.22	-40.369999	-5.1399999	1.35	35.060001	1.24	2.88	2.32	-50.18	0.13	0	230.46	1
nm2024_06_20_c2	V1 L2/3	6.11	187	274	162	154.98	-75.97	-5.93	14.07	3.18	0.19	-36.32	-11.5	1.74	49.74	1.36	2.87	2.11	-18.68	0.53	0.5	160.39	1
nm2024_06_20_c3	V2M L2/3	7.75	166	236	101	148.69	-77.04	-6.79	18.13	2.19	0.13	-40.15	-8.47	1.32	28.7	1.19	2.57	2.16	24.38	0.7	1.07	116.74	1.02
nm2024_06_24_c2	V2M L2/3	5.11	167	204	121	157.47	-79.76	-6.93	19.4	3.15	0.26	-37.58	-5.03	1.54	31.89	1.44	2.75	1.91	5.68	0.5	0	222.85	1
nm2024_06_24_c3	V1 L2/3	15.13	81	197	81	232.27	-77.37	-11.56	18.530001	2.4000001	0.17	-38.240002	-4.6999998	1.26	22.02	2.35	4.97	2.11	-18.62	1.14	0	419.72	1
nm2024_06_26_c3	V1 L2/3	7.15	67	369	91	217.97	-70.38	-12.19	10.72	1.76	0.15	-36.57	-6.3	1.39	47.59	2.42	3.94	1.63	-72.83	1.28	0	336.44	1
nm2024_06_26_c4	V1 L2/3	15.07	136	463	91	180	-80.67	-10.24	13.77	2.38	0.13	-35.68	-17.94	2.21	42.74	1.59	3.92	2.47	-17.23	0.39	0	261.11	1
nm2024_06_27_c9	V1 L5	9.6	36	266	81	166.71	-65.06	-10.28	24.209999	3.9200001	0.28999999	-37.650002	-5.8200002	1.48	25.639999	1.71	3.67	2.15	-46.81	6.07	1.5	191.09	1.02
nm2024_06_28_c1	V1 L5	11.49	56	473	81	52.65	-70.05	-7.9200001	25.620001	4.8000002	0	-41.41	-10.33	1.13	29.23	0.98	1.64	1.67	214.82	16.67	4.4	59.99	0.97
nm2024_06_28_c3	V1 L5	10.38	57	213	101	170.16	-67.34	-8.36	14.44	1.58	0.11	-43.38	-0.97	1.24	25.32	1.4	2.9	2.07	-0.2	8.62	0.87	129.7	1
nm2024_06_28_c4	V2M L5	7.22	57	325	101	80.46	-71.27	-5.25	18.75	4.74	-0.09	-44.51	-10.35	1.36	37.89	1.23	2.19	1.78	-1.6	18.28	2.23	84.95	1.06
nm2024_07_24_c0	V1 L2/3	5.23	103	218	182	129.81	-61.93	-5.7399998	18.58	4.1199999	0.27000001	-31.059999	-3.22	1.71	38.220001	1.36	1.95	1.43	1.43	3.48	0	151.05	1
nm2024_07_24_c2	V2M L5	9.75	102	293	101	100.86	-74.23	-6.94	13.2	1.07	-0.48	-48.73	-8.56	1.24	35.85	1.14	2.03	1.78	358.75	16.55	0.57	118.75	1
nm2024_07_26_c0	V1 L5	2.71	77	162	121	116.57	-62.98	-7.97	24.92	2.72	0.27	-33.52	0.96	1.3	19.11	2.01	3.39	1.69	121.67	2.77	1.77	116.78	1
nm2024_07_26_c1	V1 L5	10.1	102	183	121	155.8	-68.73	-11.22	17.66	1.77	0.2	-41.6	-3.44	1.52	21.95	1.8	2.98	1.66	11.55	7.31	0	160.16	1
nm2024_07_26_c2	V1 L5	8.01	183	267	182	127.65	-76.4	-11.11	16.81	2.23	0.25	-37.07	-9.01	1.46	31.67	1.01	2.07	2.05	9.49	8.02	0.87	147.4	1
nm2024_07_26_c3	V1 L5	5.4	3	231	101	95.52	-63.89	-10.21	12.13	1.44	0	-44.17	-1.15	1.23	32.42	1.24	2.34	1.89	150.88	16.41	4.53	65.67	1.11
nm2024_07_29_c0	V1 L5	9.42	230	237	162	111.27	-77.23	-11.7	13.49	2.72	0.27	-35.72	-10.07	1.58	43.47	1.09	2.14	1.96	-0.68	3.07	0	138.01	1
nm2024_07_29_c1	V1 L5	9.54	41	247	61	374.88	-66.43	-14	17.43	2.22	0.2	-37.03	-3.53	1.29	24.58	3.07	6.95	2.26	-45.85	1.05	0.5	389.24	1
nm2024_07_29_c2	V1 L5	9.28	97	522	142	58.93	-74.4	-4.95	20.71	5.43	0.26	-41.69	-10.59	1.39	39.82	0.97	1.9	1.96	325.78	9.27	5	58.17	0.99
nm2024_07_30_c0	V1 L2/3	10.18	260	190	162	176.85	-80.75	-9.45	12.5	2.4	0.22	-39.1	-5.71	1.4	40.9	1.33	3.06	2.3	-54.71	1.62	1.27	143.42	1.01
nm2024_07_30_c4	V1 L2/3	7.17	288	210	223	84.13	-78.04	-10.62	8.43	2.57	0.14	-36.8	-6.04	1.43	58.8	1.23	1.82	1.48	-46.15	0.14	2.7	83.79	1.01
nm2024_08_01_c3	V1 L2/3	5.55	217	182	142	146.58	-81.48	-8.6899996	19.040001	4.8000002	0.33000001	-37.650002	-3.9000001	1.28	30.040001	1.25	2.56	2.05	4.87	1.98	0	183.11	1
nm2024_08_02_c1	V1 L2/3	9.34	118	194	162	163.52	-72.42	-10.92	13.52	3.05	0.11	-36.869999	-5.6700001	1.4299999	34.110001	1.37	2.53	1.85	-16.89	0.36	0	252.22	1
nm2024_08_02_c2	V1 L2/3	10.31	261	126	162	104.26	-79.43	-12.71	22.26	2.39	0.2	-33.32	-7.02	1.23	22.16	0.82	1.94	2.37	-63.92	0.24	1.43	112.54	1.02
